id,text,aspect,predicted
0,i created the webinar on powerpoint and i would like to copy the individual slides for the webinar into invideo,slides,1
1,prices r very high for non milk items,milk,0
2,potato quality very small n inside black,quality,0
3,i.e. a knowledge hub for several content typ.,knowledge,0
4,"the best app for managment tasks, notes and so on, i only think the mobile app is not so fast, it could be improved",mobile app,1
5,best note taking app ever !,note,1
6,just deliver the product properly,deliver,0
7,i want to know if my current plan is paid,plan,0
8,i just keep seeing the notion icon forever.,Notion icon,0
9,With the App it is not possible to create new teams and move projects from one team to another...,create new teams,-1
10,stucks at notion logo.,notion logo.,0
11,morning time delivery and doorstep delivery,delivery,0
12,it is an inline gallery view (not under a toggle) and the bug usually happens when the card is medium size.,gallery,0
13,"hi i would like to pause or cancel my invideo subscription, i paid for the last two months and have not used the platform, although i am very interested in using the platform, i have not had the time to learn it.",paid,1
14,copyright-free music reseller rights advanced editing,editing,1
15,takes time to learn but very helpful,Takes,1
16,we do not have a native zoom feature.,zoom,0
17,@marcovrj @jmelaskyriazi @notionhq @airtable we base our pricing on doc makers -- people who actually create docs --.,pricing,1
18,great app but way slower to be productive.,app,1
19,I like the flexibility - you can adapt it to exactly what you wNt it to do.,flexibility,1
20,all the products are available and ok n time delivery and other options in mobile application is very easy to use.,products,1
21,"using app is very difficult as very slow, non responsive and gets hanged.",app,0
22,"How can i download PDF attachments on IOS !?!
",attachments,1
23,may i know which notification did you get?,notification,0
24,You can use a template or make it from scratch.,template,0
25,", i did not realize my watermark logo was on - is there a way to remove it all at once?",logo,0
26,you have not supplied milk on 24 th last month.,milk,0
27,promt most of the time for regular milk delivery service.,milk delivery,0
28,i can see only audio volume not background music over there,background,0
29,3.other vegs.,vegs.,0
30,"first, the app needs to work properly.",APP,0
31,the deductions are made from my credit card.,credit,1
32,Wish I could rate the app better - I cannot even get beyond the sign in.,sign,1
33,i do not know why some people complain about the speed and reliability of the notion app.,app.,-1
34,did not receive milk bag which was free,milk,1
35,"what i see is, my card has been charged 20$",card,-1
36,"i like efficiency and productivity so any action that can be skipped is a win, haha.",productivity,1
37,"very intuitive, love the features, in particular the shareable notes.","features,",1
38,by supplying quality vegetables and not rotten or bad ones.,vegetables,1
39,i have a 2 column based table : amount (eg : -100$ for outcomes & 100$ for incomes) & date.,table,0
40,reduce delivery fees,delivery fees,0
41,app stuck on the loading screen with the logo.,App,-1
42,one of the words actually turned into a bunch of code lingo.,code,0
43,as of now invideo is only available on desktop.,desktop,0
44,there are foss apps that do a better job than this while having a better ui.,UI.,1
45,this is a beautiful and mind-blowing app.,app.,1
46,There is a change of languages in the web version.,web version,0
47,"When I want to type text on a field that has Long text and rich text formatting, I can’t see what I am typing above.",field,1
48,I wasted so much time with different project managers it’s ridiculous because air table was right there all along.,project,-1
49,there are no offers in supr daily.,offers,-1
50,in the video i see at the right remove background in a orange box i do not see this on my screen,remove,0
51,Beat tool for collaboration and tasks management,tasks,0
52,"what is the difference between, animation and textbox animation.",Textbox,0
53,the best app i have ever used till now for making notes !,app,1
54,I am happy to fill out a form.,form.,1
55,working slow at android phone.,android phone.,0
56,Bit hard to navigate lists on mobile interface.,mobile,-1
57,# what is your workspace domain?,workspace,0
58,I have used @evernote for over a decade for note taking and project management.,project,0
59,"feel free to pick my brain, as i think the power of notion is still underrated.",free,1
60,"using ipad pro i hoped that the notion app could be used in full as i do on windows, but it comes with limitations.",iPad Pro,1
61,"notion team notion.so, the all-in-one workspace for your notes, tasks, wikis, and databases.","notes,",0
62,"i looked into this for you and saw another user on the ""amoshh"" workspace, an admin.",workspace,0
63,The app doesn't let me log in without sharing all of my contacts.,log,-1
64,I haven't been able to open it since my phone.,phone,0
65,"yes, i see you have now gone on the unlimited yearly plan for $180 with 50% off, so that is carried forward - but if you are interested in an unlimited plan, i could recommend paying a bit more and simply getting a lifetime unlimited plan instead",lifetime,1
66,(whenever we launch it) license to resell videos video resolution in 1080p full access to all editing,1080p,0
67,"I worked long and hard on a chart of my family heirlooms—quilts, a cooking fork, paper weight, candle sticks, books, photo albums—only to have it disappear in an update.",chart,-1
68,regular in time delivery of milk without delivery charge.,milk,0
69,"sorry, but i can not find any overlay when it fades away on the editor as well.",fades,1
70,the interface and workflow is innovative and allows you to be as flexible yet simple as you want with your pages and templates.,interface,1
71,"hi, i want to is it possible to have a language setting in ios app?",language,0
72,"notion for desktop, web and mobile is good, but the ipad version is not good, interface is not properly scaled for the screen size and resolution.",iPad version,1
73,the notion website application is awesome but i find the app to be not so easy to use.,app,-1
74,what is the point charging as a supr user and taking 99 rs when you have most of the items out of stock,stock,0
75,but i think i did not use a premade template.,template.,0
76,"prompt delivery, good products, no extra charges for delivery, easy to contact customer care service, easy to add and deduct products through app, easy to load money in wallet.",wallet.,1
77,@rimmedwine i would be surprised if @notionhq does not have the ksa model template in their huge catalogue.,template,1
78,Very simple and useful app for multiple online co-working tasks,working tasks,1
79,"woah, who could have thought that this app, which is being simped by all youtubers is secretly (or not so secretly) a 'manage everything' app??","app,",0
80,you deliver rotten stuff.,deliver rotten stuff.,-1
81,"excellent, but the app is slow, and wish if there were an offline mode.",offline mode.,1
82,but what if i need to disable in general because my editors are making their own videos,editors,0
83,follow this from a laptop/ desktop to cancel,cancel,-1
84,"good afternoon, i would like to remove a logo i no longer use, its in the logo section.",remove,1
85,we spoke yesterday about my project,project,0
86,"i like the concept of this app so much I am putting all my notes, reviewers and sources for my upcoming board exam in here.","notes,",1
87,Can’t modify email notification settings on the app or through web on mobile.,email,0
88,account is wrong if v ask not responding,not responding,-1
89,but it is too darn slow,slow,0
90,"i want to clear my card details for my profile, can you help me on here?","profile,",1
91,"also, i did suggest applying for a nonprofit, but they are now asking if doing so will exempt them from tax.",tax.,1
92,"hi, is it possible to add sound effects on text to video templates?",text,0
93,"I am starting to love notion, but the mobile app needs improvement.",app,1
94,notion shines on the desktop version but it becomes a she will of itself on the mobile version.,Notion,0
95,"quality, commitment and service","Quality,",1
96,"sometimes when you drag and drop a video, there is a suggestion advising to make it fits the exact length of the text, sometime you have to guess","text,",-1
97,sorry for the slow reply paul,slow,-1
98,free plans do not even have watermarks,free plan,1
99,"but one thing that i would point towards is that it has a kind of slowish capture in terms of taking quick notes, which cannot be yet compared with fast captures like evernote, or google keep or onenote.","quick notes,",1
100,packing and delivery of breads cakes is very bad.,breads,-1
101,"hi, i have voice overs I would like to import and sync with scenes.",scenes.,1
102,"i really like the features of notion, as it is can be used with all devices, enables toggle mode to save space with notes and has many more functions, especially the export to pdf which makes it so convenient.",notes,1
103,sometimes items like curd supplied expired or going to expire immediately delivered,curd,1
104,customer service is worst.,Customer service,-1
105,how do i cancel my free trial period?,trial,1
106,the lost edits were originally created - platform you created those edits on (web app/mac desktop app/windows desktop app/ios/android) and may i have your permission to access your account and workspace to investigate?,workspace,1
107,What's the point of letting me add fields or change names of things if when I hit save it doesn't save and reverts back to the original?,add fields,1
108,its just the mobile app that is prventing me from making the best use of this.,mobile app,1
109,"Beautiful interface, easy to use, so the optimal creation of mini team on the phone.",phone,1
110,"The application is all good, how to translate into Russian?",Russian,1
111,Best organization and productivity app.,productivity,1
112,"i have uninstalled and installed multiple times, I have lost my patience with this app.",app.,-1
113,"evernote really struggled here, nail the cross device workflow/syncing or all the extra stuff will not matter.",device workflow/syncing,-1
114,there is unnecessary delivery charges applied which is otherwise not charged by local vendors,delivery charges,-1
115,that is fairly simple to customise by adding position: fixed; to the css.,customise,0
116,regular service is needed,Regular service,0
117,the brand settings are not saved at all,brand,-1
118,"some things needed to be improved is that when i have some typos, i can only delete 1 letter and the keyboard is 'gone' so i have to tap the word again and delete 1 letter again and the keyboard gone, and it goes on.",keyboard,1
119,their android app is pure garbage.,Android app,0
120,ah so did that turn off the volume for just that one scene?,scene,0
121,I have been charged on my credit card,credit card,1
122,i was about to download a video project i barely finished and the site went blank and my work is gone.,download,0
123,This is a very useful task manager app that assists me in organizing and managing my tasks whether personally or professionally,tasks,1
124,the overall concept is great and the app has great features.,app,1
125,"How can you call yourself a modern database when you can’t customize the number formats such as thousands separators, decimal places, etc... should be very basic in my opinion",database,0
126,@monicalimco @m_ashcroft @notionhq @roamresearch now use the @notionhq web clipper as you visit each course.,web clipper,0
127,I am using android phone nokia 6.1+,android,0
128,i absolutely love notion & rank it,notion,1
129,"The latest updates allow more functionality in “My Tasks”, now my issue is that dragging and dropping tasks into a specific order doesn’t work well on mobile.",latest updates,1
130,amazing app for productive life,app,1
131,Lacks filtering features of desktop app.,desktop app,0
132,"sorry, profitability will depend on how you use and price these videos.",price,1
133,"per scene music volume can not be adjusted as of now, that is a feature we are bringing soon, but i may have a workaround for this",volume,0
134,"great app, missing that one killer feature to make this the only note/organization app on my ipad.","app,",-1
135,this app is a life saver,app,0
136,timely delivery and availability of stocks,delivery,0
137,"for youtube upload/share, can i upload the video as private?",YouTube,0
138,"the experience on ipad, however, is extremely lackluster - not to mention limited - compared to the macbook app.",MacBook app.,1
139,"When I open Asana on iPad it always asks you to update, update and ask you to update again! ,",update,0
140,if deliveries are not proper there is no proper updates about refund and every month thrice delivery not come,no proper updates,-1
141,@notionhq btw usually the images are usually attached under toggle lists if that matters.,images,0
142,update: changed my review to 5 stars now because finally loading times are reasonable and you can view your notes while offline.,offline.,-1
143,"I always swipe and make tasks compeleted. 
",swipe,0
144,"correct, its the volume slider for the video and the background music in that scene",scene,0
145,i thought i had already cancelled prior to the trial being over but just noticed the payment,cancelled,-1
146,please adjust the in time of text box on the timeline below.,text,1
147,no proper transaction history - poor app quality - wrong delivery shown on app very bad service at all,service,-1
148,"when i login again, its give me new space, thehe is no my old notes for my business, acc is on .",login,-1
149,"and prior to this change it was saying upgrade for $10, now it is $15 :)",upgrade,1
150,"there is no trust, because milk packet has one color delivered milk packet is other color i raised the same issue they are saying",milk,1
151,"Very good app, easy to learn and use",learn,1
152,"the app does not run on android 6, at least on my meizu m5s.",app,0
153,invigilate your delivery person.,DELIVERY,0
154,edit a to-do list without opening th.,list,0
155,"to answer your follow up questions, we will need more than 100gb of storage.",storage.,0
156,load times on android now,Android,0
157,i suggest adding the ability of changing the font size like in ms word.,font size,1
158,it looks like the timezone can not be changed if the database is locked.,database,1
159,excellent note making app.,note making app.,1
160,order flexibility and attentive response,response,1
161,"i compressed video using handbrake video editor, file currently at 58mb, what format is supported, did not accept","editor,",0
162,get to know the finalists in the document knowledge category of the operate stage of.,Knowledge,0
163,"no mistake in delivering the correct product, correct quantity.",correct quantity.,-1
164,great app.,app,1
165,"hi, this morning i opened my notion to type out notes for my english class just to see that I would been logged out of my account.",notes,0
166,ux in general of apps is not good,apps,-1
167,but often Apple Pencil dosent respond in the upper left '<',Apple Pencil dosent respond,0
168,Since the 22-Feb-2021 update I've had problems with the app crashing.,app crashing,-1
169,would give the app 5/5 if it did not slow down as much.,Would,0
170,"but overall it is excellent, the animations are a bit choppy, there is still some bugs here and there, but i hope the next update will make it better than it already was.",bugs,1
171,by giving best quality at best price,quality,1
172,good service please include grocery as well,grocery,1
173,I just created A LONG message to update a project.,update,1
174,excellent app.,app.,1
175,I’d like to only view my highest priorities,priorities,1
176,I find Asana to be more effective on the web browser as opposed to the app.,browser,1
177,i can look into this for you - could you share the name or domain of the workspace?,workspace,1
178,"i added someone to my team to collaborate on projects, but i do not see how to share the project with them","projects,",1
179,we have refunded your payment and cancelled your subscription.,subscription,-1
180,would be complete if we could have widgets like sticky notes,widgets,1
181,"hello, how can i cancel free account?",account?,1
182,"Airtable is a GREAT tool but the iOS app is really too light (not all views are supported, neither dashboards etc...)
",views,1
183,"in ""how to take smart notes"", sonke ahrens ""planning"" more suited for projects but ""structure"" more apt for uncerta.",projects,1
184,"after summing up the amount table and filtering on the previous days, I am able to display a daily based balance.",display,0
185,"Simply not working, keeps saying I'm offline in my project",offline,-1
186,but the video media is resizing,video,0
187,i want to cancel my plan,plan,-1
188,give offers .,offers,0
189,my order was marked as delivered,delivered,0
190,i can give you 25% discount on unlimited yearly plan,discount,0
191,"well for now I am going to take the monthly plan, because the truth as i have a lot of development expenses, i find it a bit difficult this month at $ 500, but i do take the option into account, because at the moment one of my platforms starts to generate that it will be throughout the month of may and june","expenses,",1
192,"hey notion team, I am trying to export my notion project(as html) to have an offline backup.",offline,-1
193,the vat field actually will not show up until your billing address has been updated - that field automatically comes up when we have verified your address is in a taxable jurisdiction.,tax,0
194,# what is your workspace domain?,workspace,0
195,essential items all there at reasonable price as well as varieties,varieties,1
196,order not getting delivered since last 2-3 times and shows delivered..,Order,0
197,"thanks for taking the time to fill out our form, thibaut.","form,",1
198,"app on the ios terribly slow, crashes multiple times, does not support apple pencil.",App,-1
199,"dear support, i tried to filter a big table to show all the rows from for example february","Support,",1
200,please deliver the items promptly and regularly,deliver,1
201,"A new iPhone broke, took the old 5 and could not use Asana.",iPhone,-1
202,"right now, i can use it in chrome",Chrome,0
203,"ok, share the new accounts emails with me",account,1
204,excellent & in time service,time service,1
205,very great app!,app!,1
206,"hi, i have a dialogue track and music track and when i export, the music cuts off abruptly before the video ends on the exported video.",off,-1
207,"barring few items such as onions tomato and potato, quality of product supplied is very good.",tomato,1
208,am i able to split a clip into two scenes when it is on the timeline?,scenes,0
209,amazing browser app but needs more work on the android version as it is very slow and miss some features that makes notion a powerful tool,android version,1
210,"ok, so i am on the pay screen now (using an incognito window)",pay,1
211,"Can no longer use the app because of this stupid ‘Magic email link’ which only opens with web browser, rendering the app and the whole point of Asana completely useless!!

",email,-1
212,"it has the opportunity to be the best note taking app, so much flexibility and support.",note,1
213,"1) handwriting option, i dominantly use it on my ipad and it would be great if that could be added.","option, I",1
214,":) i use on android tablet mostly and keyboard shortcut to ""undo"" and ""redo"" do not work properly or consistently.",Keyboard shortcut,1
215,Not as a company.,company,0
216,"hi brandon, it is paris dean.looks like a lot of new stuff, how are we deleting the box",deleting,1
217,can i start a free plan and then upgrade that to a business plan?,free,1
218,rs 2 for a lt milk dilivery charges is to much,dilivery charges,-1
219,i wish add the rotate and crop image functions,image,1
220,but viewing this data in calendar view (by 'upcoming date' so upcoming birthdays show) does not show anything for today's date.,Calendar,0
221,"right ok, that may be because of facebook's requirement of 4:3/4:5 dimensions, which we do not do yet",facebook,1
222,now a days lot days delivery is missed out.,delivery,-1
223,How did you recover a task that I accidentally deleted.??,task,-1
224,"after 13.may update the app loads ways faster, not perfect but way better.",app,1
225,shall i retry the charge from the backend?,charge,0
226,as they have created another free account,account,1
227,"can not make it image and text for exampple, on ""one line""",text,0
228,"hey kim, i understand, however, i can help you with a lifetime unlimited plan which is an ltd plan.",plan,1
229,how can i delete music and scene from the project ?,delete,0
230,"i love the desktop version, but when i want to start the mobile one, it takes forever to load","desktop version,",1
231,there was shortage of product i did not get my subscriptions.,shortage of product,-1
232,by getting more customer centric.,customer centric.,0
233,"in terms of #remotehiring @graphyhq are showing the way, by using @notionhq to share their available roles and prep.",share,1
234,Beware the coercive subscription model.,subscription,0
235,there are certain items which are not up to expectations and price charged from customer .for,price charged from customer,0
236,very nice & useful service,nice,1
237,"my video has 2 scenes, but when the render finished the 2nd scene music only there","scenes,",0
238,"initially, you guys promoted with free delivery charges & now there charges taken against each packet of milk, which was very disappointing to me.","milk,",-1
239,"Bug: ""Add Tag"" not working on android. """,Tag,0
240,Easy and simple but can also complex database solutions,database,1
241,"i have small table, one column has dates.","table,",0
242,your free trial ends on april 22 and you will be charged $10 monthly,free,1
243,i gave a spin to the daily habit tracker which adds a lot of insights to the user.,daily,0
244,how do i change the filter of the picture to make it blend into the video as a watermark?,picture,0
245,please select the textbox and then go to the 'colors' tab in the right panel.,text,1
246,@kaushikb9 @mittuled @evernote @notionhq thankfully i just switched from evernote to @notionhq last month.,switched,1
247,I have not been using invideo and forgot to cancel my subscription.,cancel,-1
248,we do not know whether the product is delivered or not.,product,0
